,name,city,state_code,state_name,city_longitude,city_latitude
182,COOP Ale Works,Oklahoma City,OK,Oklahoma,-97.5170536,35.4729886
183,Seventh Son Brewing Company,Columbus,OH,Ohio,-83.0007065,39.9622601
184,Oasis Texas Brewing Company,Austin,TX,Texas,-97.7436995,30.2711286
185,Vander Mill Ciders,Spring Lake,MI,Michigan,-86.196997,43.076963
186,St. Julian Winery,Paw Paw,MI,Michigan,-85.8911246,42.2178171
187,Pedernales Brewing Company,Fredericksburg,TX,Texas,-98.8719843,30.2752011
188,Mother's Brewing,Springfield,MO,Missouri,-93.2946576,37.1968298
189,Modern Monks Brewery,Lincoln,NE,Nebraska,-96.7077751,40.8088861
190,Two Beers Brewing Company,Seattle,WA,Washington,-122.330062,47.6038321
191,Snake River Brewing Company,Jackson,WY,Wyoming,-110.761815,43.479965
192,Capital Brewery,Middleton,WI,Wisconsin,-89.5119565,43.0962919
193,Anthem Brewing Company,Oklahoma City,OK,Oklahoma,-97.5170536,35.4729886
194,Goodlife Brewing Co.,Bend,OR,Oregon,-121.3153096,44.0581728
195,Breakside Brewery,Portland,OR,Oregon,-122.674194,45.5202471
196,Goose Island Brewery Company,Chicago,IL,Illinois,-87.6244212,41.8755616
197,Burnside Brewing Co.,Portland,OR,Oregon,-122.674194,45.5202471
198,Hop Valley Brewing Company,Springfield,OR,Oregon,-123.0220289,44.0462362
199,Worthy Brewing Company,Bend,OR,Oregon,-121.3153096,44.0581728
200,Occidental Brewing Company,Portland,OR,Oregon,-122.674194,45.5202471
201,Fearless Brewing Company,Estacada,OR,Oregon,-122.3342596,45.2864689
202,Upland Brewing Company,Bloomington,IN,Indiana,-86.5342881,39.1670396
203,Mehana Brewing Co.,Hilo,HI,Hawaii,-155.08158,19.7073734
204,Hawai'i Nui Brewing Co.,Hilo,HI,Hawaii,-155.08158,19.7073734
205,People's Brewing Company,Lafayette,IN,Indiana,-86.8752869,40.4167022
206,Fort George Brewery,Astoria,OR,Oregon,-123.8319802,46.1882007
207,Branchline Brewing Company,San Antonio,TX,Texas,-98.4951405,29.4246002
208,Kalona Brewing Company,Kalona,IA,Iowa,-91.7061856,41.483118
209,Modern Times Beer,San Diego,CA,California,-117.1627728,32.7174202
210,Temperance Beer Company,Evanston,IL,Illinois,-87.6930459,42.0447388
211,Wisconsin Brewing Company,Verona,WI,Wisconsin,-89.5335575,42.9905492
212,Crow Peak Brewing Company,Spearfish,SD,South Dakota,-103.85937,44.490817
213,Grapevine Craft Brewery,Farmers Branch,TX,Texas,-96.8960916,32.9265668
214,Buffalo Bayou Brewing Company,Houston,TX,Texas,-95.3676974,29.7589382
215,Texian Brewing Co.,Richmond,TX,Texas,-95.7607832,29.5821811
216,Orpheus Brewing,Atlanta,GA,Georgia,-84.3902644,33.7489924
217,Forgotten Boardwalk,Cherry Hill,NJ,New Jersey,-75.0307264,39.9348351
218,Laughing Dog Brewing Company,Ponderay,ID,Idaho,-116.5338037,48.3054806
219,Bozeman Brewing Company,Bozeman,MT,Montana,-111.044047,45.6794293
220,Big Choice Brewing,Broomfield,CO,Colorado,-105.05208,39.9403995
221,Big Storm Brewing Company,Odessa,FL,Florida,-82.55402792188,28.183222
222,Carton Brewing Company,Atlantic Highlands,NJ,New Jersey,-74.034306,40.4078865
223,Midnight Sun Brewing Company,Anchorage,AK,Alaska,-149.894852,61.2163129
224,Fat Head's Brewery,Middleburg Heights,OH,Ohio,-81.812912,41.3614401
